office,district,party,candidate
State Assembly,133,dem,Barbara A. Baer
State Assembly,133,rep,Joe Errigo
State Assembly,133,con,Joe Errigo
State Assembly,133,wor,Barbara A. Baer
State Assembly,133,ind,Joe Errigo
State Assembly,133,wep,Barbara A. Baer
State Assembly,133,ref,Joe Errigo
State Assembly,134,rep,Peter A. Lawrence
State Assembly,134,con,Peter A. Lawrence
State Assembly,134,ind,Peter A. Lawrence
State Assembly,134,ref,Peter A. Lawrence
State Assembly,135,dem,Dorothy A. Styk
State Assembly,135,rep,Mark C. Johns
State Assembly,135,con,Mark C. Johns
State Assembly,135,ind,Mark C. Johns
State Assembly,135,wep,Dorothy A. Styk
State Assembly,135,ref,Mark C. Johns
State Assembly,136,dem,Joseph D. Morelle
State Assembly,136,ind,Joseph D. Morelle
State Assembly,137,dem,David F. Gantt
State Assembly,138,dem,Harry B. Bronson
State Assembly,138,rep,Bob Zinck
State Assembly,138,wor,Harry B. Bronson
State Assembly,138,ind,Harry B. Bronson
State Assembly,138,wep,Harry B. Bronson
State Assembly,138,ref,Bob Zinck
State Assembly,139,rep,Stephen M. Hawley
State Assembly,139,con,Stephen M. Hawley
State Assembly,139,ind,Stephen M. Hawley
State Assembly,139,ref,Stephen M. Hawley